,organocats,match substructures?
25,Oc1c(c2c(O)c(c3c(c2)cccc3)c2c(O)ccc3c2cccc3)cc2c(cccc2)c1c1c2ccccc2ccc1O,True
26,O1C(O[C@@H]([C@H]1C(O)(c1cc2c(cccc2)c2ccccc12)c1c2ccccc2c2ccccc2c1)C(O)(c1cc2ccccc2c2ccccc12)c1c2ccccc2c2ccccc2c1)(c1ccccc1)c1ccccc1,True
27,Oc1c(c2ccccc2cc1CN1CCOCC1)c1c(c(cc2ccccc12)CN1CCOCC1)O,True
28,c1(c(c(cc2CCCCc12)CN1CCOCC1)O)c1c(O)c(cc2CCCCc12)CN1CCOCC1,True
29,c1(c(c2ccccc2c2ccccc12)O)c1c(c2ccccc2c2ccccc12)O,True
30,OC(c1ccc2c(cccc2)c1c1c(C(O)(c2ccccc2)c2ccccc2)ccc2c1cccc2)(c1ccccc1)c1ccccc1,True
31,Oc1c(c2c(O)ccc3ccccc23)c2ccccc2cc1/C=N/C(C)(C)C,True
32,Clc1ncc(COCc2c(O)c(c3c(c2)cccc3)c2c(O)c(cc3ccccc23)COCc2ccc(Cl)nc2)cc1,True
33,Oc1c2ccccc2c2ccccc2c1c1c2ccccc2c2ccccc2c1O,True
34,Oc1c(c2ccccc2cc1)c1c(O)c(c(c2ccccc12)c1c(O)ccc2ccccc12)O,True
35,C1(C)(C)O[C@H]2[C@@](C[C@H]([C@@H]([C@@H]2O)OC(=O)C)C)(C(C)(C)O)O1,True
36,OC([C@@H]1O[C@@]2(O[C@H]1C(O)(c1ccccc1)c1ccccc1)CC[C@]1(O[C@H]([C@@H](O1)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1)CC2)(c1ccccc1)c1ccccc1,True
37,OC(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)[C@@H]1OC(O[C@H]1C(O)(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)(C(C)C)C(C)C,True
38,[C@@]1(O)(C[C@@H](CC[C@H]1C(C)C)C)Cc1c(O)c(c2c(cccc2)c1)c1c(c(C[C@]2(O)C[C@@H](CC[C@H]2C(C)C)C)cc2c1cccc2)O,True
39,c1(c2c(ccc3cc(ccc23)C(=O)O)C(=O)O)c(ccc2c1ccc(C(=O)O)c2)C(=O)O,True
40,c1(c(c(CP(=O)(CC)CC)cc2ccccc12)O)c1c(c(CP(=O)(CC)CC)cc2ccccc12)O,True
41,c12c(cccc1)cc(F)c(O)c2c1c(O)c(F)cc2c1cccc2,True
42,Oc1cccc2CCC3(c12)CCc1cccc(O)c31,True
43,Brc1c2[C@@H](C[C@@]3(c2c(cc1)O)c1c(c(Br)ccc1O)[C@H](c1ccccc1)C3)c1ccccc1,True
44,c1([C@@H]2C[C@]3(c4c(O)ccc(c4[C@H](c4ccc(cc4)C)C3)Br)c3c(O)ccc(c23)Br)ccc(cc1)C,True
45,OC[C@@H]1OC(O[C@@H]1[C@@H](O)[C@H](c1ccccc1)C=C)(C)C,True
46,Fc1c2c(c(c(O)c(c2c(F)c(F)c1F)c1c(O)c(F)c(c2c1c(F)c(c(c2F)F)F)F)F)F,True
47,c1(c2c(c(cc3ccccc23)Br)O)c(c(cc2ccccc12)Br)O,True
48,c1c([C@H]2O[C@H]([C@H](C(=O)O)O2)C(=O)O)ccc(c1)C(=O)O,True
49,c1(c2ccccc2ccc1[C@H](C(F)(F)F)O)c1c2ccccc2ccc1[C@H](C(F)(F)F)O,True
50,C(c1ccccc1)NC(=O)c1c(O)c(c2c(c(cc3c2cccc3)C(=O)NCc2ccccc2)O)c2ccccc2c1,True
51,O1[C@H](c2ccccc2)O[C@@H]([C@H]1CO)CO,True
52,O1[C@@]2(CC[C@]3(CC2)O[C@H]([C@@H](O3)C(O)(c2ccccc2)c2ccccc2)C(O)(c2ccccc2)c2ccccc2)O[C@H]([C@@H]1C(O)(c1ccccc1)c1ccccc1)C(c1ccccc1)(c1ccccc1)O,True
53,Oc1c2c(ccc1)C[C@@H]1[C@]32[C@@H](Cc2c3c(O)ccc2)CC1,True
54,Oc1cccc2c1[C@]13[C@@H](CCC[C@H]1Cc1cccc(O)c31)C2,True
55,Oc1c2[C@]34c5c(O)cccc5C[C@H]3C[C@@H](C[C@@H]4Cc2ccc1)C,True
56,Oc1c2[C@]34[C@@H](Cc2ccc1)C[C@@H](C[C@@H]4Cc1c3c(O)ccc1)c1ccccc1,True
57,Oc1c2c(C[C@H]([C@@]32[C@H](C)Cc2cccc(O)c32)C)ccc1,True
58,Oc1c(c2c(cc1)c(c(F)c(F)c2F)F)c1c2c(ccc1O)c(c(F)c(F)c2F)F,True
59,O1COc2c(-c3c4c(cccc4)cc(OCc4ccccc4)c13)c1c(c(c2O)c2c3ccccc3c3-c4c(OCOc3c2O)c(OCc2ccccc2)cc2c4cccc2)cccc1,True
60,Oc1c(c2c(ccc3c2cccc3)O)c2c(cc1/C=N/CCC)cccc2,True
61,Oc1c(c2c3ccccc3cc(c3c(cc(cc3C(C)C)C(C)C)C(C)C)c2O)c2c(cc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)cccc2,True
62,Brc1c(O)c(c2c3CCCC(=O)c3cc(c2O)Br)c2CCCC(=O)c2c1,True
63,N1(Cc2c3c(ccc(O)c3c3c(O)ccc4c3c3c(OCN(C3)[C@@H](c3ccccc3)C)cc4)ccc2OC1)[C@@H](c1ccccc1)C,True
64,c1(c(ccc2ccc3ccc4c(cccc4)c3c12)O)c1c(ccc2ccc3ccc4ccccc4c3c12)O,True
65,O1C(O[C@H]([C@@H]1C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1)(C)C,True
66,C(c1ccc(C)cc1)([C@@H]1[C@@H](C(c2ccc(cc2)C)(c2ccc(cc2)C)O)OC(O1)(C)C)(O)c1ccc(cc1)C,True
67,O1[C@@H]([C@H](OC1(C)C)C(O)(c1ccc(F)cc1)c1ccc(F)cc1)C(O)(c1ccc(F)cc1)c1ccc(F)cc1,True
68,Oc1c(c2ccccc2cc1C(=O)OC)c1c(O)ccc2cc(ccc12)C(C)(C)C,True
69,O[C@H]([C@](O)(COC(C)(C)C)C)[C@@H]1OC(O[C@@H]1CO)(C)C,True
70,O1[C@@H](C(c2c(OC)cccc2)(c2c(cccc2)OC)O)[C@@H](OC1)C(O)(c1ccccc1OC)c1c(OC)cccc1,True
71,O1[C@@H](CO)[C@@H](OC1(C)C)[C@@H](O)[C@H]1COC(O1)(C)C,True
72,Oc1c(cc2c(c1c1c(O)c(cc3c1ccc(c3)Cl)CN1CCCC1)ccc(c2)Cl)CN1CCCC1,True
73,c12c3ccccc3c(c(O)c2C(=O)C(=C(CC)C1=O)CC)c1c2c(c3C(=O)C(=C(C(=O)c3c1O)CC)CC)cccc2,True
74,c1(c2c(c(cc3ccccc23)P(=O)(c2ccccc2)c2ccccc2)O)c(c(cc2ccccc12)P(=O)(c1ccccc1)c1ccccc1)O,True
75,O[C@@H]([C@H]1OC(=O)O[C@@H]1[C@H](O)C)/C=C/c1c(c(OC)ccc1)CO,True
76,Clc1c(C(=O)O)c(c2c(c1)cccc2)c1c2ccccc2cc(Cl)c1C(=O)O,True
77,c1(cc2ccccc2c(c2c3c(cc(c2O)S(=O)(=O)C(F)(F)F)cccc3)c1O)S(=O)(=O)C(F)(F)F,True
78,C1(C)(C)O[C@H](C(c2cccc3c2cccc3)(O)c2c3c(ccc2)cccc3)[C@@H](C(c2cccc3c2cccc3)(c2cccc3c2cccc3)O)O1,True
79,[C@@H]1(OC(O[C@H]1[C@H](O)CC(=O)OC(C)(C)C)(C)C)CO,True
80,O(C[C@@]1([C@H]2OC(O[C@H]2[C@@H](C1)O)(C)C)O)Cc1ccc(OC)cc1,True
81,Oc1c(c2c(O)ccc3c2ccc(c3)C(=O)O)c2c(cc1)cc(cc2)C(=O)O,True
82,c1(c(ccc2ccccc12)O)c1c(O)c(/C=N/CCO)cc2c1cccc2,True
83,Oc1c(c2ccccc2cc1CN[C@H](C(O)(c1ccccc1)c1ccccc1)c1ccccc1)c1c(O)c(cc2ccccc12)CN[C@H](C(O)(c1ccccc1)c1ccccc1)c1ccccc1,True
84,Oc1c(c2c(cc1)ccc1c2C=CCO1)c1c2c(ccc3OCC=Cc23)ccc1O,True
85,OC(c1ccc(F)cc1)(c1ccc(cc1)F)[C@@H]1OC(O[C@H]1C(O)(c1ccc(F)cc1)c1ccc(F)cc1)(C)C,True
86,Oc1c(cccc1C(C)C)[C@@H](OC)c1cc2c(c(c3c4ccccc4ccc3O)c1O)cccc2,True
87,c1(c(ccc2c1cccc2)[C@H](O)C(F)(F)F)c1c(ccc2ccccc12)[C@H](O)C(F)(F)F,True
88,Oc1c(cc2ccccc2c1c1c2ccccc2cc(c1O)COCc1ccccc1)COCc1ccccc1,True
89,Oc1ccc2c(cccc2)c1c1c(O)c(cc2c1cccc2)/C=N/c1ccc(cc1)C,True
90,FC(F)(F)C(O)([C@@H]1OC(O[C@H]1C(=O)O)(C)C)C(F)(F)F,True
91,FC(C(F)(C(O)([C@@H]1OC(O[C@H]1C(O)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)(C)C)C(F)(F)C(F)(F)F)F)(F)F,True
92,Oc1c(c2c(O)c(C(c3ccc([N+]([O-])=O)cc3)=O)cc4c2cccc4)c(cccc5)c5cc1C(c6ccc([N+]([O-])=O)cc6)=O,True
93,c1(c(O)c(S(=O)(=O)c2ccccc2)cc2c1cccc2)c1c(c(cc2c1cccc2)S(=O)(=O)c1ccccc1)O,True
94,[C@H]1(OC(=O)O[C@H]1[C@H](O)[C@@H](CO)O)CO,True
95,Oc1c(cc2ccccc2c1c1c(O)ccc2ccccc12)c1c(O)c(c2c(c1)cccc2)c1c(O)ccc2ccccc12,True
96,FC(F)(F)C(O)(C(F)(F)F)[C@@H]1OC(O[C@H]1C(O)(C(F)(F)F)C(F)(F)F)(C)C,True
97,Oc1c(c2c(O)c(C(C)(C)C)cc3c2ccc(c3)C(C)(C)C)c2c(cc1C(C)(C)C)cc(cc2)C(C)(C)C,True
98,c1(c2c3cc(OCc4ccccc4)ccc3cc(c2O)C#Cc2cccc(c2)C(=O)OC)c2c(cc(c1O)C#Cc1cccc(c1)C(=O)OC)ccc(c2)OCc1ccccc1,True
99,s1c(nc2c1cccc2)c1cc2c(c(c3c(c(cc4ccccc34)c3sc4ccccc4n3)O)c1O)cccc2,True
100,O1[C@H]([C@@H](OC1(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1,True
101,Oc1ccc2ccccc2c1c1c2ccccc2cc(c1O)CNc1c2c(ccc1)cccc2,True
102,C(=O)(c1cc2ccccc2c(c1O)c1c(ccc2ccc(cc12)O)O)OC,True
103,Fc1cc(cc(F)c1F)c1cc2c(c(c3c4c(cccc4)cc(c3O)c3cc(F)c(F)c(c3)F)c1O)cccc2,True
104,O[C@H](CC#C)[C@@H]1OC(O[C@@H]1CO)(C)C,True
105,[C@H]([C@H]1COC(O1)(C)C)([C@H]1[C@H](OC(O1)(C)C)[C@@H](O)c1ccccc1)O,True
106,Oc1c(c2c(cc(cc2)CCCC)cc1)c1c(O)ccc2cc(ccc12)CCCC,True
107,Oc1c(c2c3-c4nc5c(c(c6ccccc6)c4CCc3ccc2O)cccc5)c2-c3nc4c(c(c5ccccc5)c3CCc2cc1)cccc4,False
108,Oc1c(c2c(O)c(cc3ccccc23)C(c2cc(ccc2C)C)c2cc(ccc2C)C)c2ccccc2cc1C(c1cc(ccc1C)C)c1cc(C)ccc1C,True
109,c1(c(O)c2c(-c3c([C@H]2c2ccccc2)cccc3)c2ccccc12)c1c2c(c3-c4c([C@@H](c5ccccc5)c3c1O)cccc4)cccc2,True
110,O1C(O[C@H]([C@@H]1[C@](O)(c1ccccc1)C)[C@](O)(c1ccccc1)C)(C)C,True
111,c1(ccc2ccccc2c1c1c2ccccc2cc(c1O)/C=N/O)O,True
112,N1(Cc2c(O)c(c3c(c2)cccc3)c2c3ccccc3cc(c2O)C=O)CCOCC1,True
113,[C@@H]1([C@H](C(c2ccccc2)(O)c2ccccc2)O[C@@](O1)(C)c1ccccc1)C(c1ccccc1)(c1ccccc1)O,True
114,[Si](C#Cc1c2ccc(O)c(c3c(O)ccc4c(c5ccccc5c(c34)C#C[Si](C(C)C)(C(C)C)C(C)C)C#C[Si](C(C)C)(C(C)C)C(C)C)c2c(c2c1cccc2)C#C[Si](C(C)C)(C(C)C)C(C)C)(C(C)C)(C(C)C)C(C)C,True
115,O=C1N[C@@H]([N@@]2[C@H]1CCC2)c1cc2ccccc2c(c1O)c1c2ccccc2cc(c1O)[C@@H]1[N@]2CCC[C@H]2C(=O)N1,True
116,O[C@@]1(c2c(-c3c([C@]1(O)C)ccc1c3cccc1)c1ccccc1cc2)C,True
117,O=C(OC)c1cc2c(c(c1O)c1c3c(cc(C(=O)OC)c1O)cccc3)cccc2,True
118,O(c1c2c(c(c3c4cc(OC)cc(OC)c4c(O)c(c3O)C(=O)OCC)c(O)c(c2O)C(=O)OCC)cc(OC)c1)C,True
119,c1(c2c(c(c(c3c2cccc3)O)C(=O)OCC)O)c2c(c(c(C(=O)OCC)c1O)O)cccc2,True
120,o1c2c3c(c(c(O)c2c(=O)cc1C)c1c2c(c4oc(cc(=O)c4c1O)C)c(OC)cc(OC)c2)cc(OC)cc3OC,True
121,Oc1c(c2c(c(cc3ccccc23)C2(NCCN2)C(F)(F)F)O)c2c(cc1C1(NCCN1)C(F)(F)F)cccc2,True
122,O=S(N[C@H](C1=CC=CC=C1)[C@H](NS(=O)(C(F)(F)F)=O)C2=CC=CC=C2)(C(F)(F)F)=O,False
123,OC1=C(C2=CC=CC=C2)C=C3C(C=CC=C3)=C1C4=C(O)C(C5=CC=CC=C5)=CC6=CC=CC=C64,True
124,O=C(C(C(C1=CC=CC=C1)=C2)=[C@@]([C@@]3=C(CCCC4)C4=CC(C5=CC=CC=C5)=C3C(NS(=O)(C(F)(F)F)=O)=O)C6=C2CCCC6)NS(=O)(C(F)(F)F)=O,True
125,O=C(C1=C(C2=CC=CC=C2)C=C3C(C=CC=C3)=C1C4=C(C(O)=O)C(C5=CC=CC=C5)=CC6=CC=CC=C64)O,True
126,O=C(C1=C(C2=CC=CC=C2)C=C3C(CCCC3)=C1C4=C(C(O)=O)C(C5=CC=CC=C5)=CC6=C4CCCC6)O,True
127,O=C(C1=C(C(CC2)=CC=C1C3=CC=CC=C3)[C@@]42C5=C(C(NS(=O)(C(F)(F)F)=O)=O)C(C6=CC=CC=C6)=CC=C5CC4)NS(=O)(C(F)(F)F)=O,True
128,O=C(C1=C(C(CC2)=CC=C1C3=CC=CC=C3)[C@@]42C5=C(C(O)=O)C(C6=CC=CC=C6)=CC=C5CC4)O,True
129,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)OC(C(F)(F)F)=O,True
130,OC(C1=CC=CC(C)=C1)(C2=CC=CC(C)=C2)[C@@H]3OC(C)(C)O[C@H]3C(C4=CC=CC(C)=C4)(C5=CC=CC(C)=C5)O,True
131,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)NS(=O)(C(F)(F)F)=O,False
132,CC1(C)O[C@@H]2[C@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)NS(NC2(C5=CC=CC=C5)C6=CC=CC=C6)(=O)=O)O1,True
133,NC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)N[S@@](C(F)(F)F)=O,False
134,OC(C=C1)=C(C2=C(CCCC3)C3=CC=C2OC)C4=C1CCCC4,True
135,CC1(C)O[C@@H](C(C2=CC=CC=C2)(C3=CC=CC=C3)N[S@](C(F)(F)F)=O)[C@@H](C(C4=CC=CC=C4)(C5=CC=CC=C5)NCNC(C)C)O1,False
136,OC(C1=C(F)C(F)=C(F)C(F)=C1F)(C2=C(F)C(F)=C(F)C(F)=C2F)[C@@H]3OC(C)(C)O[C@H]3C(C4=C(F)C(F)=C(F)C(F)=C4F)(C5=C(F)C(F)=C(F)C(F)=C5F)O,True
137,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)NS(=O)(C(F)(F)F)=O,False
138,NC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)NS(=O)(C(F)(F)F)=O,False
139,CC1(C)O[C@@H](C(C2=CC=CC=C2)(C3=CC=CC=C3)NS(=O)(C(F)(F)F)=O)[C@@H](C(C4=CC=CC=C4)(C5=CC=CC=C5)SC)O1,False
140,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)NC(C(F)(F)F)=O,False
141,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)NC(C(F)(F)F)=O,False
142,CC1(C)O[C@@H](C(C2=CC=CC=C2)(C3=CC=CC=C3)NC(C(F)(F)F)=O)[C@@H](C(C4=CC=CC=C4)(C5=CC=CC=C5)NC(C(F)(F)F)=O)O1,False
143,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)O,False
144,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)OC,False
145,OC(C(Br)=C1)=C(C2=C(CCCC3)C3=CC(Br)=C2OC)C4=C1CCCC4,True
146,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)OC(C)C,False
147,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)OCC6=CC=CC=C6,False
148,SC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)N(C)C,False
149,O=S(N[C@H]1[C@H](NS(=O)(C(F)(F)F)=O)CCCC1)(C(F)(F)F)=O,False
150,O=S(N[C@@H](C1=CC=CC=C1)[C@@H](NS(=O)(C(F)(F)F)=O)C2=CC=CC=C2)(C(F)(F)F)=O,False
151,OC1=CC=CC=C1,False
152,CS(=O)(O)=O,False
153,OC1=C(C2(O)C3=C(C=CC=C3)C4=C2C=CC=C4)C=C5C(C=CC=C5)=C1C6=C(O)C(C7(O)C8=C(C=CC=C8)C9=C7C=CC=C9)=CC%10=CC=CC=C%106,True
154,OC1=C(C(C2=CC=CC=C2)(O)C3=CC=CC=C3)C=C4C(C=CC=C4)=C1C5=C(O)C(C(C6=CC=CC=C6)(O)C7=CC=CC=C7)=CC8=CC=CC=C85,True
155,OC1=C(C(C2=CC=CC=C2)(O)C3=CC=CC=C3)C=C4C(CCCC4)=C1C5=C(O)C(C(C6=CC=CC=C6)(O)C7=CC=CC=C7)=CC8=C5CCCC8,True
156,OC1=C(C2=C(C)C=C(C)C=C2C)C=C3C(CCCC3)=C1C4=C(O)[C@@]([C@@]5=C(C)C=C(C)C=C5C)=CC6=C4CCCC6,True
157,OC1=C(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(O)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C=C4C(C=CC=C4)=C1C5=C(O)C(C(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)(O)C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)=CC8=CC=CC=C85,True
158,Oc1c(cc2c(cccc2)c1c1c(O)c(cc2ccccc12)I)I,True
159,Oc1c(c2ccc(cc2)c2ccccc2)cc2c(cccc2)c1c1c(O)c(c2ccc(cc2)c2ccccc2)cc2ccccc12,True
160,Oc1c(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc2c(cccc2)c1c1c(O)c(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc2ccccc12,True
161,Oc1c(c2c3ccccc3cc(c3ccc4ccccc4c3)c2O)c2c(cccc2)cc1c1cc2ccccc2cc1,True
162,Oc1c(c2c3CCCCc3cc(Br)c2O)c2c(CCCC2)cc1Br,True
163,OC1=C(C2=CC(C)=CC(C)=C2)C=C3C(CCCC3)=C1C4=C(O)C(C5=CC(C)=CC(C)=C5)=CC6=C4CCCC6,True
164,OC1=C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=C3C(CCCC3)=C1C4=C(O)C(C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5)=CC6=C4CCCC6,True
165,OC(C1=CC(C)=CC(C)=C1)(C2=CC(C)=CC(C)=C2)C(C=C3)=[C@@]([C@@]4=C(CCCC5)C5=CC=C4C(C6=CC(C)=CC(C)=C6)(C7=CC(C)=CC(C)=C7)O)C8=C3CCCC8,True
166,OC(C1=CC(C)=C(F)C(C)=C1)(C2=CC(C)=C(F)C(C)=C2)C(C=C3)=[C@@]([C@@]4=C(CCCC5)C5=CC=C4C(C6=CC(C)=C(F)C(C)=C6)(C7=CC(C)=C(F)C(C)=C7)O)C8=C3CCCC8,True
167,O[C@@H](C(OC)=O)[C@@H](O)C(OC)=O,False
168,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)O,True
169,FC(C(C(C(F)(S(N[C@H](C1=CC=CC=C1)[C@H](NS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(=O)=O)C2=CC=CC=C2)(=O)=O)F)(F)F)(F)F)(F)F,False
170,OC(C1=CC=CC2=C1C=CC=C2)(C3=CC=CC4=C3C=CC=C4)[C@@H]5OC(C)(C)O[C@H]5C(C6=CC=CC7=C6C=CC=C7)(C8=CC=CC9=C8C=CC=C9)O,True
171,OC1=CC=C2C(C=CC=C2)=[C@]1[C@]3=C(O)C(CN([H])C4=CN=CC=C4)=CC5=CC=CC=C53,True
172,OC1=CC=C2C(C=CC=C2)=[C@]1[C@]3=C(O)C(CN(CC)C4=CN=CC=C4)=CC5=CC=CC=C53,True
173,OC1=CC=C2C(C=CC=C2)=[C@]1[C@]3=C(O)C(CN(C(C)(C)C)C4=CN=CC=C4)=CC5=CC=CC=C53,True
174,OC1=CC=C2C(C=CC=C2)=[C@]1[C@]3=C(O)C(CN(CC4=CC=CC=C4)C5=CN=CC=C5)=CC6=CC=CC=C63,True
175,OC1=CC=C2C(C=CC=C2)=[C@]1[C@]3=C(O)C(CN(C(C)C)C4=CN=CC=C4)=CC5=CC=CC=C53,True
176,OC1=[C@@]([C@@]2=C(C)C(Cl)=C(C)C=C2O)C(C)=C(Cl)C(C)=C1,False
177,OC1=CC=C2C(C=CC=C2)=C1C3=C(O)C=CC4=C3CCCC4,False
178,OC1=CC=C2C(C=CC(Br)=C2)=C1C3=C(O)C=CC4=CC(Br)=CC=C43,True
179,OC1=CC=C2C(C=CC=C2)=C1C3=C(O)C(Br)=CC4=C3CCCC4,False
180,CC(C)(C)C1=CC(C2=[NH+][C@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)N2)=CC(C5=[NH+][C@H](C6=CC=CC=C6)[C@@H](C7=CC=CC=C7)N5)=C1,False
181,OC1=C(Br)C=C2C(C=CC=C2)=C1C3=C(O)C(Br)=CC4=CC=CC=C43,True
182,OC1=C(SC2=CC=CC=C2)C=C3C(C=CC=C3)=C1C4=C(O)C(SC5=CC=CC=C5)=CC6=CC=CC=C64,True
183,OC(C1=CC(CC)=C(F)C(CC)=C1)(C2=CC(CC)=C(F)C(CC)=C2)C(C=C3)=[C@@]([C@@]4=C(CCCC5)C5=CC=C4C(C6=CC(CC)=C(F)C(CC)=C6)(C7=CC(CC)=C(F)C(CC)=C7)O)C8=C3CCCC8,True
184,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C(C4=CC=CC=C4)(C5=CC=CC=C5)O,False
185,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(C(O)(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4,False
